Model,Accuracy,Precision,Recall,F1.Score
SVM,0.78,0.86,0.67,0.75
Gaussian Naïve Bayes,0.62,0.57,0.94,0.71
KNN,0.7,0.75,0.61,0.67
LDA,0.76,0.83,0.66,0.74
CART,0.78,0.78,0.77,0.77
Random Forest,0.65,0.67,0.6,0.64
DL with Keras,0.71,0.78,0.59,0.67
SVM,0.66,0.63,0.79,0.7
Gaussian Naïve Bayes,0.6,0.55,0.94,0.7
KNN,0.62,0.61,0.68,0.64
LDA,0.65,0.63,0.76,0.69
CART,0.64,0.6,0.86,0.71
Random Forest,0.58,0.57,0.65,0.61
DL with Keras,0.52,0.54,0.19,0.28
SVM,0.49,0.49,0.85,0.62
Gaussian Naive Bayes,0.5,0.5,1,0.67
KNN,0.49,0.5,0.81,0.61
LDA,0.5,0.5,0.9,0.64
CART,0.5,0.5,0.96,0.66
Random Forest,0.5,0.5,0.7,0.58
DL with Keras,0.46,0.46,0.41,0.43
SVM,0.45,0.47,0.9,0.62
Gaussian Naive Bayes,0.5,0.5,1,0.67
KNN,0.52,0.51,0.71,0.59
LDA,0.48,0.49,0.97,0.65
CART,0.5,0.5,1,0.67
Random Forest,0.52,0.51,0.65,0.57
DL with Keras,0.19,0.19,0.19,0.19
SVM,0.46,0.47,0.61,0.53
Gaussian Naive Bayes,0.48,0.49,0.92,0.64
KNN,0.46,0.47,0.63,0.54
LDA,0.46,0.48,0.7,0.57
CART,0.46,0.48,0.76,0.58
Random Forest,0.48,0.48,0.62,0.54
DL with Keras,0.46,0.47,0.61,0.53
SVM,0.48,0.49,0.9,0.63
Gaussian Naive Bayes,0.5,0.5,1,0.67
KNN,0.48,0.49,0.76,0.6
LDA,0.49,0.5,0.93,0.65
CART,0.5,0.5,0.97,0.66
Random Forest,0.47,0.48,0.66,0.56
DL with Keras,0.41,0.4,0.38,0.39
SVM,0.64,0.64,0.62,0.63
Gaussian Naive Bayes,0.54,0.52,0.91,0.66
KNN,0.61,0.6,0.61,0.61
LDA,0.63,0.63,0.65,0.64
CART,0.62,0.65,0.53,0.59
Random Forest,0.57,0.57,0.59,0.58
DL with Keras,0.62,0.59,0.74,0.66
